"","sample","indexNumber","experiment","replicate","Q","time","whichRun"
"1","1A",77,"sne26","1","TRUE","preShift","first"
"2","2A",78,"sne26","2","TRUE","preShift","first"
"3","3A",79,"sne26","3","TRUE","preShift","first"
"4","4A",80,"sne26","4","FALSE","preShift","first"
"5","5A",81,"sne26","5","FALSE","preShift","first"
"6","6A",82,"sne26","6","FALSE","preShift","first"
"7","1B",85,"sne26","1","TRUE","preShock","first"
"8","2B",86,"sne26","2","TRUE","preShock","first"
"9","3B",87,"sne26","3","TRUE","preShock","first"
"10","4B",88,"sne26","4","FALSE","preShock","first"
"11","5B",89,"sne26","5","FALSE","preShock","first"
"12","6B",90,"sne26","6","FALSE","preShock","first"
"13","1C",93,"sne26","1","TRUE","postShock","first"
"14","2C",94,"sne26","2","TRUE","postShock","first"
"15","3C",95,"sne26","3","TRUE","postShock","first"
"16","4C",96,"sne26","4","FALSE","postShock","first"
"17","5C",97,"sne26","5","FALSE","postShock","first"
"18","6C",98,"sne26","6","FALSE","postShock","first"
"19","1X",101,"sne26","1","TRUE","preShift","second"
"20","2X",102,"sne26","2","TRUE","preShift","second"
"21","3X",103,"sne26","3","TRUE","preShift","second"
"22","4X",104,"sne26","4","FALSE","preShift","second"
"23","5X",105,"sne26","5","FALSE","preShift","second"
"24","6X",106,"sne26","6","FALSE","preShift","second"
"25","1Y",109,"sne26","1","TRUE","preShock","second"
"26","2Y",110,"sne26","2","TRUE","preShock","second"
"27","3Y",111,"sne26","3","TRUE","preShock","second"
"28","4Y",112,"sne26","4","FALSE","preShock","second"
"29","5Y",113,"sne26","5","FALSE","preShock","second"
"30","6Y",114,"sne26","6","FALSE","preShock","second"
"31","1Z",117,"sne26","1","TRUE","postShock","second"
"32","2Z",118,"sne26","2","TRUE","postShock","second"
"33","3Z",119,"sne26","3","TRUE","postShock","second"
"34","4Z",120,"sne26","4","FALSE","postShock","second"
"35","5Z",1,"sne26","5","FALSE","postShock","second"
"36","6Z",2,"sne26","6","FALSE","postShock","second"
